tracadora,pa_proc_id,nome_proc,registros,qtd_apr,valor_apr
MSUD,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),105,104,655.1999999999996
MSUD,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,44,44,440
MSUD,0202100154,DOSAGEM QUANTITATIVA DE AMINOACIDOS,39,37,0
MSUD,0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,30,38,292.9799999999999
MSUD,0803010087,UNIDADE DE REMUNERACAO PARA DESLOCAMENTO DE PACIENTE POR TRANSPORTE AEREO (CADA 200 MILHAS),25,392,71148
MSUD,0803010010,AJUDA DE CUSTO P/ ALIMENTACAO/PERNOITE DE PACIENTE,22,174,4306.5
MSUD,0803010125,UNIDADE DE REMUNERACAO PARA DESLOCAMENTO DE PACIENTE POR TRANSPORTE TERRESTRE (CADA 50 KM ),21,344,1702.8000000000009
PAF_TTR,0604540060,TAFAMIDIS 20 MG CAPSULA,31035,835604,0
PAF_TTR,0301010196,AVALIACAO CLINICA PARA DIAGNOSTICO DE DOENCAS RARAS - EIXO I: 1-ANOMALIAS CONGENITAS OU DE MANI,432,321,256800
PAF_TTR,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,83,83,830
PAF_TTR,0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,57,56,431.75999999999965
PAF_TTR,0207010064,RESSONANCIA MAGNETICA DE CRANIO,48,48,12900
PAF_TTR,0205010032,ECOCARDIOGRAFIA TRANSTORACICA,45,45,2886.1800000000003
PAF_TTR,0205010040,ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS,30,61,2415.5999999999995
PAF_TTR,0203020030,EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL,26,37,1508.8599999999997
